Country Name,Country Code,Year,"average_value_School enrollment, tertiary, female (% gross)","average_value_School enrollment, tertiary, male (% gross)",female_male_ratio,female_advantage_points,total_gap_from_high_income_female
High income,HIC,2019,84.3713912963867,67.4781188964844,1.250351857404585,16.8932723999023,0.0
Upper middle income,UMC,2019,58.1735000610352,48.634708404541,1.1961313631645742,9.538791656494197,26.197891235351506
Lower middle income,LMC,2019,25.0295696258545,23.4492797851563,1.0673918284560084,1.5802898406981996,59.341821670532205
Low income,LIC,2018,7.40636014938354,11.6248197555542,0.6371161278302719,-4.21845960617066,76.96503114700316
